entity_id,entity_title,name,pageUrl
PID_000011227874,Q684224,"Albrecht VII, Duke of Mecklenburg",https://www.wikidata.org/wiki/Q684224
PID_000011227942,Q684281,Louis Le Roy,https://www.wikidata.org/wiki/Q684281
PID_000011228266,Q6844523,Miguel Danus,https://www.wikidata.org/wiki/Q6844523
PID_000011229009,Q684591,Stanisław Witkiewicz,https://www.wikidata.org/wiki/Q684591
PID_000011229141,Q68461,"Frederick William III, Duke of Saxe-Altenburg",https://www.wikidata.org/wiki/Q68461
PID_000011230294,Q68476,Johann Geiler von Kaisersberg,https://www.wikidata.org/wiki/Q68476
PID_000011230680,Q6848117,Mike Morris,https://www.wikidata.org/wiki/Q6848117
PID_000011231094,Q68486603,Wei Biao Wu,https://www.wikidata.org/wiki/Q68486603
PID_000011231399,Q6849057,"Mike Todd, Jr.",https://www.wikidata.org/wiki/Q6849057
PID_000011231778,Q6849626,Mikhail Mikhalkov,https://www.wikidata.org/wiki/Q6849626
PID_000011231887,Q684978,Clive Bell,https://www.wikidata.org/wiki/Q684978
PID_000011231888,Q6849793,Mykhailo Parashchuk,https://www.wikidata.org/wiki/Q6849793
PID_000011232116,Q68505,Hans Lewy,https://www.wikidata.org/wiki/Q68505
PID_000011232237,Q68507,Oswald Teichmüller,https://www.wikidata.org/wiki/Q68507
PID_000011232315,Q6850958,Mildred Couper,https://www.wikidata.org/wiki/Q6850958
PID_000011232462,Q68514,Philipp Furtwängler,https://www.wikidata.org/wiki/Q68514
PID_000011232593,Q68519,Adolf Kneser,https://www.wikidata.org/wiki/Q68519
PID_000011232663,Q6852608,Majd al-Assad,https://www.wikidata.org/wiki/Q6852608
PID_000011232675,Q68527,Fritz Noether,https://www.wikidata.org/wiki/Q68527
PID_000011232727,Q68531,Leo Königsberger,https://www.wikidata.org/wiki/Q68531
PID_000011232756,Q68533,Arthur Korn,https://www.wikidata.org/wiki/Q68533
PID_000011232795,Q6853486,Q6853486,https://www.wikidata.org/wiki/Q6853486
PID_000011232894,Q68539,Martin Löb,https://www.wikidata.org/wiki/Q68539
PID_000011232901,Q6853912,Wongyeong,https://www.wikidata.org/wiki/Q6853912
PID_000011232923,Q6853955,Yinzhuo,https://www.wikidata.org/wiki/Q6853955
PID_000011232967,Q68541,Bernd Fischer,https://www.wikidata.org/wiki/Q68541
PID_000011232991,Q68542,Otto Blumenthal,https://www.wikidata.org/wiki/Q68542
PID_000011233091,Q6854648,Hồ Thị Hoa,https://www.wikidata.org/wiki/Q6854648
PID_000011233097,Q68547,Paul Gustav Heinrich Bachmann,https://www.wikidata.org/wiki/Q68547
PID_000011233126,Q68550,Grete Hermann,https://www.wikidata.org/wiki/Q68550
PID_000011233154,Q68553,Eugen Netto,https://www.wikidata.org/wiki/Q68553
PID_000011233222,Q68559,Ernst Witt,https://www.wikidata.org/wiki/Q68559
PID_000011233328,Q6856845,"Charles Stuart, Duke of Kendal",https://www.wikidata.org/wiki/Q6856845
PID_000011233577,Q685842,Kevin Loughery,https://www.wikidata.org/wiki/Q685842
PID_000011234048,Q685979,Wolfgang Lazius,https://www.wikidata.org/wiki/Q685979
PID_000011234151,Q68604,Friedrich L. Bauer,https://www.wikidata.org/wiki/Q68604
PID_000011234166,Q68604401,Infanta Margarita of Spain,https://www.wikidata.org/wiki/Q68604401
PID_000011234636,Q6862109,Mimi Alford,https://www.wikidata.org/wiki/Q6862109
PID_000011234693,Q68622015,Richard Kieburtz,https://www.wikidata.org/wiki/Q68622015
PID_000011234792,Q6862716,Mina Papatheodorou-Valyraki,https://www.wikidata.org/wiki/Q6862716
PID_000011234840,Q6863142,Minamoto no Makoto,https://www.wikidata.org/wiki/Q6863142
PID_000011234881,Q68635,"Philip II, Count of Schaumburg-Lippe",https://www.wikidata.org/wiki/Q68635
PID_000011234975,Q6863918,Israel Abraham Rabin,https://www.wikidata.org/wiki/Q6863918
PID_000011235127,Q6864862,Mingyur Namkhai Dorje,https://www.wikidata.org/wiki/Q6864862
PID_000011235138,Q6864935,Minhyong Kim,https://www.wikidata.org/wiki/Q6864935
PID_000011235174,Q68652,"Frederick IV, Duke of Brunswick-Lüneburg",https://www.wikidata.org/wiki/Q68652
PID_000011235251,Q686597,Charles-André van Loo,https://www.wikidata.org/wiki/Q686597
