subject_id,attribute_id,object_label
PID_000000142570,AID_0001,Irsyad Maulana
PID_000000142570,AID_0001,Lan Bastian
PID_000000142570,AID_0001,Roman Golian
PID_000000142570,AID_0001,Safrial Irfandi
PID_000000142570,AID_0001,Yustinus Pae
PID_000000142570,AID_0001,Zaenal Arif
PID_000000142570,AID_0001,Zulvin Zamrun
PID_000000142570,AID_0001,Alfonsius Kelvan
PID_000000142570,AID_0001,Daniel Moncharé
PID_000000142570,AID_0001,Fadil Sausu
PID_000000142570,AID_0001,Fengky Turnando
PID_000000142570,AID_0001,Ganjar Mukti
PID_000000142570,AID_0001,Izaac Wanggai
PID_000000142570,AID_0001,James Koko Lomell
PID_000000142570,AID_0001,Nelson Alom
PID_000000142570,AID_0001,Osas Saha
PID_000000142570,AID_0001,Rendy Siregar
PID_000000142570,AID_0001,Rossy Noprihanis
PID_000000142570,AID_0001,Rudi Setiawan
PID_000000142570,AID_0001,Teddy Heri
PID_000000142570,AID_0001,Yoo Jae-Hoon
PID_000000142570,AID_0001,Abdoulaye Maïga
PID_000000142570,AID_0001,Andritany Ardhiyasa
PID_000000142570,AID_0001,Arifki Eka Putra
PID_000000142570,AID_0001,Legimin Raharjo
PID_000000142570,AID_0001,Muhammad Bahtiar
PID_000000142570,AID_0001,Muhammad Ilham
PID_000000142570,AID_0001,Yohanis Tjoe
PID_000000142570,AID_0001,Zainal Abidin
PID_000000142570,AID_0001,Achmad Hisyam Tolle
PID_000000142570,AID_0001,Adixi Lenzivio
PID_000000142570,AID_0001,Alain N'Kong
PID_000000142570,AID_0001,David Uron
PID_000000142570,AID_0001,Dedi Gusmawan
PID_000000142570,AID_0001,Dendi Santoso
PID_000000142570,AID_0001,Eky Taufik Febriyanto
PID_000000142570,AID_0001,Fakhrurrazi
PID_000000142570,AID_0001,Febrianto Hamsyah
PID_000000142570,AID_0001,Irvan Mofu
PID_000000142570,AID_0001,Kurnia Meiga
PID_000000142570,AID_0001,Manahati Lestusen
PID_000000142570,AID_0001,Misriadi Didiet
PID_000000142570,AID_0001,Ricky Ohorella
PID_000000142570,AID_0001,Rivki Mokodompit
PID_000000142570,AID_0001,Rizky Dwi Ramadhana
PID_000000142570,AID_0001,Sa Anun Al Qadry
PID_000000142570,AID_0001,Slamet Nurcahyono
PID_000000142570,AID_0001,Zikri Akbar
PID_000000142570,AID_0001,Agu Casmir
PID_000000142570,AID_0001,Alexander Yarangga
PID_000000142570,AID_0001,Aries Tuansyah
PID_000000142570,AID_0001,Dolly Gultom
PID_000000142570,AID_0001,Elie Aiboy
PID_000000142570,AID_0001,Engelbert Sani
PID_000000142570,AID_0001,Feri Komul
PID_000000142570,AID_0001,Firdaus Ramadhan
PID_000000142570,AID_0001,Firmansyah Aprillianto
PID_000000142570,AID_0001,Muhammad Aulia Ardli
PID_000000142570,AID_0001,Rudiyana
PID_000000142570,AID_0001,Slamet Widodo
PID_000000142570,AID_0001,Suroso
PID_000000142570,AID_0001,Thierry Gathuessi
PID_000000142570,AID_0001,Yosua Pahabol
PID_000000142570,AID_0001,Arthur Bonai
PID_000000142570,AID_0001,Baso Bintang
PID_000000142570,AID_0001,Bayu Gatra
PID_000000142570,AID_0001,Cristian Febre
PID_000000142570,AID_0001,Dedi Kusnandar
PID_000000142570,AID_0001,Firmansyah
PID_000000142570,AID_0001,Hasyim Kipuw
PID_000000142570,AID_0001,Jandia Eka Putra
PID_000000142570,AID_0001,Muhammad Ridwan
PID_000000142570,AID_0001,Muhammad Yasir
PID_000000142570,AID_0001,Rachmat Afandi
PID_000000142570,AID_0001,Ramdhani Lestaluhu
PID_000000142570,AID_0001,Saepulloh Maulana
PID_000000142570,AID_0001,Slamet Sampurno
PID_000000142570,AID_0001,Ahmad Noviandani
PID_000000142570,AID_0001,Andi Oddang
PID_000000142570,AID_0001,Bilibig Dian Mahrus
PID_000000142570,AID_0001,Cristian Gonzáles
